
 prefix: admin, CPU load: 0.87, Heap load: 3.77
 prefix: application, CPU load: 1.36, Heap load: 6.42
 prefix: admin, CPU load: 1.36, Heap load: 3.77
 prefix: application, CPU load: 1.36, Heap load: 7.26
 prefix: admin, CPU load: 1.36, Heap load: 3.94
 Build: 2. Application tests started.
 prefix: application, CPU load: 1.36, Heap load: 7.35
 prefix: admin, CPU load: 1.36, Heap load: 4.02
 prefix: application, CPU load: 1.36, Heap load: 7.35
 prefix: admin, CPU load: 1.36, Heap load: 4.17
 prefix: application, CPU load: 1.36, Heap load: 7.35
 prefix: admin, CPU load: 1.36, Heap load: 4.17
 prefix: application, CPU load: 1.41, Heap load: 7.35
 prefix: admin, CPU load: 1.41, Heap load: 4.35
 prefix: application, CPU load: 1.41, Heap load: 8.18
 prefix: admin, CPU load: 1.41, Heap load: 4.35
 prefix: application, CPU load: 1.41, Heap load: 9.29
 prefix: admin, CPU load: 1.41, Heap load: 4.52
 prefix: application, CPU load: 1.41, Heap load: 11.22
 prefix: admin, CPU load: 1.41, Heap load: 4.52
 prefix: application, CPU load: 1.41, Heap load: 11.22
 prefix: admin, CPU load: 1.3, Heap load: 4.72
 prefix: application, CPU load: 1.3, Heap load: 11.22
 prefix: admin, CPU load: 1.3, Heap load: 4.72
 prefix: application, CPU load: 1.3, Heap load: 11.22
 prefix: admin, CPU load: 1.3, Heap load: 4.93
 prefix: application, CPU load: 1.3, Heap load: 11.27
 prefix: admin, CPU load: 1.3, Heap load: 4.93
 prefix: application, CPU load: 1.3, Heap load: 11.27
 prefix: admin, CPU load: 1.3, Heap load: 5.13
 prefix: application, CPU load: 1.3, Heap load: 11.27
 prefix: admin, CPU load: 1.19, Heap load: 5.13
 prefix: application, CPU load: 1.19, Heap load: 11.27
 prefix: admin, CPU load: 1.19, Heap load: 5.35
 prefix: application, CPU load: 1.19, Heap load: 11.27
 prefix: admin, CPU load: 1.19, Heap load: 5.35
 prefix: application, CPU load: 1.19, Heap load: 11.27
 prefix: admin, CPU load: 1.19, Heap load: 5.56
 prefix: application, CPU load: 1.19, Heap load: 11.37
 prefix: admin, CPU load: 1.19, Heap load: 5.56
 prefix: application, CPU load: 1.19, Heap load: 11.37
 prefix: admin, CPU load: 1.1, Heap load: 1.16
 prefix: application, CPU load: 1.1, Heap load: 11.37
 prefix: admin, CPU load: 1.1, Heap load: 1.16
 prefix: application, CPU load: 1.1, Heap load: 11.37
 prefix: admin, CPU load: 1.1, Heap load: 1.36
 prefix: application, CPU load: 1.1, Heap load: 11.37
 prefix: admin, CPU load: 1.1, Heap load: 1.36
 prefix: application, CPU load: 1.1, Heap load: 11.37
 prefix: admin, CPU load: 1.1, Heap load: 1.57
 prefix: application, CPU load: 1.1, Heap load: 11.37
 prefix: admin, CPU load: 1.01, Heap load: 1.57
 prefix: application, CPU load: 1.01, Heap load: 11.37
 prefix: admin, CPU load: 1.01, Heap load: 1.79
 prefix: application, CPU load: 1.01, Heap load: 11.37
 prefix: admin, CPU load: 1.01, Heap load: 1.79
 prefix: application, CPU load: 1.01, Heap load: 11.82
 prefix: admin, CPU load: 1.01, Heap load: 1.99
 prefix: application, CPU load: 1.01, Heap load: 11.82
 prefix: admin, CPU load: 1.01, Heap load: 1.99
 prefix: application, CPU load: 1.01, Heap load: 12.01
 prefix: admin, CPU load: 1.01, Heap load: 2.2
 prefix: application, CPU load: 1.01, Heap load: 12.01
 prefix: admin, CPU load: 1.01, Heap load: 2.2
 prefix: application, CPU load: 1.01, Heap load: 12.01
 prefix: admin, CPU load: 1.01, Heap load: 2.4
 prefix: application, CPU load: 1.01, Heap load: 12.01
 prefix: admin, CPU load: 1.01, Heap load: 2.4
 prefix: application, CPU load: 1.01, Heap load: 12.01
 prefix: admin, CPU load: 1.01, Heap load: 2.62
 prefix: application, CPU load: 1.01, Heap load: 12.01
 prefix: admin, CPU load: 0.93, Heap load: 2.62
 prefix: application, CPU load: 0.93, Heap load: 12.01
 prefix: admin, CPU load: 0.93, Heap load: 2.83
 prefix: application, CPU load: 0.93, Heap load: 12.01
 prefix: admin, CPU load: 0.93, Heap load: 2.83
 prefix: application, CPU load: 0.93, Heap load: 12.19
 prefix: admin, CPU load: 0.93, Heap load: 3.03
 prefix: application, CPU load: 0.93, Heap load: 12.19
 prefix: admin, CPU load: 0.93, Heap load: 3.03
 prefix: application, CPU load: 0.85, Heap load: 12.19
 prefix: admin, CPU load: 0.85, Heap load: 3.23
 prefix: application, CPU load: 0.85, Heap load: 12.19
 prefix: admin, CPU load: 0.85, Heap load: 3.25
 prefix: application, CPU load: 0.85, Heap load: 12.19
 prefix: admin, CPU load: 0.85, Heap load: 3.46
 prefix: application, CPU load: 0.85, Heap load: 12.28
 prefix: admin, CPU load: 0.85, Heap load: 3.46
 prefix: application, CPU load: 0.85, Heap load: 12.28
 prefix: admin, CPU load: 0.85, Heap load: 3.66
 prefix: application, CPU load: 0.78, Heap load: 12.28
 prefix: admin, CPU load: 0.78, Heap load: 3.66
 prefix: application, CPU load: 0.78, Heap load: 12.38
 prefix: admin, CPU load: 0.78, Heap load: 3.86
 prefix: application, CPU load: 0.78, Heap load: 12.38
 prefix: admin, CPU load: 0.78, Heap load: 3.86
 prefix: application, CPU load: 0.78, Heap load: 12.38
 prefix: admin, CPU load: 0.78, Heap load: 1.19
 prefix: application, CPU load: 0.78, Heap load: 12.38
 prefix: admin, CPU load: 0.78, Heap load: 1.19
 prefix: application, CPU load: 0.72, Heap load: 12.38
 prefix: admin, CPU load: 0.72, Heap load: 1.39
 prefix: application, CPU load: 0.72, Heap load: 12.38
 prefix: admin, CPU load: 0.72, Heap load: 1.41
 prefix: application, CPU load: 0.72, Heap load: 12.38
 prefix: admin, CPU load: 0.72, Heap load: 1.62
 prefix: application, CPU load: 0.72, Heap load: 12.38
 prefix: admin, CPU load: 0.72, Heap load: 1.62
 prefix: application, CPU load: 0.72, Heap load: 12.38
 prefix: admin, CPU load: 0.72, Heap load: 1.82
 prefix: application, CPU load: 0.66, Heap load: 12.38
 prefix: admin, CPU load: 0.66, Heap load: 1.82
 prefix: application, CPU load: 0.66, Heap load: 12.38
 prefix: admin, CPU load: 0.66, Heap load: 2.02
 prefix: application, CPU load: 0.66, Heap load: 12.38
 prefix: admin, CPU load: 0.66, Heap load: 2.02
 prefix: application, CPU load: 0.66, Heap load: 12.38
 prefix: admin, CPU load: 0.66, Heap load: 2.22
 prefix: application, CPU load: 0.66, Heap load: 12.38
 prefix: admin, CPU load: 0.66, Heap load: 2.45
 prefix: application, CPU load: 0.61, Heap load: 12.47
 prefix: admin, CPU load: 0.61, Heap load: 2.45
 prefix: application, CPU load: 0.61, Heap load: 12.47
 prefix: admin, CPU load: 0.61, Heap load: 2.65
 prefix: application, CPU load: 0.61, Heap load: 12.47
 prefix: admin, CPU load: 0.61, Heap load: 2.65
 prefix: application, CPU load: 0.61, Heap load: 12.47
 prefix: admin, CPU load: 0.61, Heap load: 2.85
 prefix: application, CPU load: 0.61, Heap load: 12.47
 prefix: admin, CPU load: 0.61, Heap load: 2.85
 prefix: application, CPU load: 0.56, Heap load: 12.65
 prefix: admin, CPU load: 0.56, Heap load: 3.05
 prefix: application, CPU load: 0.56, Heap load: 12.65
 prefix: admin, CPU load: 0.56, Heap load: 3.05
 prefix: application, CPU load: 0.56, Heap load: 12.65
 prefix: admin, CPU load: 0.56, Heap load: 3.25
 prefix: application, CPU load: 0.56, Heap load: 12.65
 prefix: admin, CPU load: 0.56, Heap load: 3.25
 prefix: application, CPU load: 0.56, Heap load: 12.65
 prefix: admin, CPU load: 0.56, Heap load: 3.46
 prefix: application, CPU load: 0.68, Heap load: 12.74
 prefix: admin, CPU load: 0.68, Heap load: 3.46
 prefix: application, CPU load: 0.68, Heap load: 12.74
 prefix: admin, CPU load: 0.68, Heap load: 3.66
 prefix: application, CPU load: 0.68, Heap load: 12.77
 prefix: admin, CPU load: 0.68, Heap load: 3.66
 prefix: application, CPU load: 0.68, Heap load: 12.77
 prefix: admin, CPU load: 0.68, Heap load: 3.86
 prefix: application, CPU load: 0.68, Heap load: 12.77
 prefix: admin, CPU load: 0.68, Heap load: 3.86
 prefix: application, CPU load: 0.62, Heap load: 12.77
 prefix: admin, CPU load: 0.62, Heap load: 4.06
 prefix: application, CPU load: 0.62, Heap load: 12.77
 prefix: admin, CPU load: 0.62, Heap load: 4.09
 prefix: application, CPU load: 0.62, Heap load: 12.77
 prefix: admin, CPU load: 0.62, Heap load: 1.15
 prefix: application, CPU load: 0.62, Heap load: 12.77
 prefix: admin, CPU load: 0.62, Heap load: 1.15
 prefix: application, CPU load: 0.62, Heap load: 12.77
 prefix: admin, CPU load: 0.62, Heap load: 1.35
 Build: 2. Application tests finished.
 prefix: application, CPU load: 0.57, Heap load: 12.77
 prefix: admin, CPU load: 0.57, Heap load: 1.35
 prefix: application, CPU load: 0.57, Heap load: 12.77
 prefix: admin, CPU load: 0.57, Heap load: 1.55
 prefix: application, CPU load: 0.57, Heap load: 12.77
 prefix: admin, CPU load: 0.57, Heap load: 1.55
 prefix: application, CPU load: 0.57, Heap load: 12.77
 prefix: admin, CPU load: 0.57, Heap load: 1.73
 prefix: application, CPU load: 0.57, Heap load: 12.77
 prefix: admin, CPU load: 0.57, Heap load: 1.75
 prefix: application, CPU load: 0.53, Heap load: 12.77
 prefix: admin, CPU load: 0.53, Heap load: 1.95
 prefix: application, CPU load: 0.53, Heap load: 12.77
 prefix: admin, CPU load: 0.53, Heap load: 1.95
 prefix: application, CPU load: 0.53, Heap load: 12.77
 prefix: admin, CPU load: 0.53, Heap load: 2.15
 prefix: application, CPU load: 0.53, Heap load: 12.77
 prefix: admin, CPU load: 0.53, Heap load: 2.15
 prefix: application, CPU load: 0.53, Heap load: 12.77
 prefix: admin, CPU load: 0.53, Heap load: 2.36
 prefix: application, CPU load: 0.48, Heap load: 12.77
 prefix: admin, CPU load: 0.48, Heap load: 2.36
 prefix: application, CPU load: 0.48, Heap load: 12.77
 prefix: admin, CPU load: 0.48, Heap load: 2.53
 prefix: application, CPU load: 0.48, Heap load: 12.77
 prefix: admin, CPU load: 0.48, Heap load: 2.53
 prefix: application, CPU load: 0.48, Heap load: 12.77
